G1655	ἐλεήμων
G1653	ἐλεάω
G2513	καθαρός
G2588	καρδία
G1518	εἰρηνοποιός
G1377	διώκω
G1752	ἕνεκεν
G3752	ὅταν
G3679	ὀνειδίζω
G4190	πονηρός
G5574	ψεύδομαι
G21	ἀγαλλιάω
G3408	μισθός
G4253	πρό
G217	ἅλας
G3471	μωραίνω
G233	ἁλίζω
G3762	οὐδείς
G2480	ἰσχύω
G2089	ἔτι
G1854	ἔξω
G2662	καταπατέω
G2928	κρύπτω
G3761	οὐδέ
G2545	καίω
G3088	λύχνος
G5087	τίθημι
G3426	μόδιος
G3087	λυχνία
G2989	λάμπω
G1715	ἔμπροσθεν
G2041	ἔργον
G1392	δοξάζω
G3543	νομίζω
G2647	καταλύω
G3551	νόμος
G281	ἀμήν
G3928	παρέρχομαι
G2503	ἰῶτα
G1520	εἷς
G2762	κεραία
G3089	λύω
G1785	ἐντολή
G4052	περισσεύω
G4483	ῥέω
G744	ἀρχαῖος
G5407	φονεύω
G1777	ἔνοχος
G2920	κρίσις
G3710	ὀργίζομαι
G4469	ῥακά
G4892	συνέδριον
G3474	μωρός
G1067	γέεννα
G2379	θυσιαστήριον
G2546	κἀκεῖ
G3415	μιμνῄσκομαι
G5100	τις
G4412	πρῶτος
G1259	διαλλάσσομαι
G2132	εὐνοέω
G476	ἀντίδικος
G5035	ταχύς
G2923	κριτής
G5257	ὑπηρέτης
G5438	φυλακή
G591	ἀποδίδωμι
G2078	ἔσχατος
G2835	κοδράντης
G3431	μοιχεύω
G991	βλέπω
G1937	ἐπιθυμέω
G3788	ὀφθαλμός
G1188	δεξιός
G4624	σκανδαλίζω
G1807	ἐξαιρέω
G4851	συμφέρω
G3196	μέλος
G4983	σῶμα
G647	ἀποστάσιον
G3924	παρεκτός
G3056	λόγος
G4202	πορνεία
G630	ἀπολείπω
G1060	γαμέω
G3429	μοιχάομαι
G1964	ἐπιορκέω
G3727	ὅρκος
G3660	ὀμνύω
G3654	ὅλως
G3383	μήτε
G2362	θρόνος
G5286	ὑποπόδιον
G2776	κεφαλή
G3022	λευκός
G3189	μέλας
G3483	ναί
G3756	οὔ
G4053	περισσός
G3599	ὀδούς
G436	ἀνθίστημι
G4474	ῥαπίζω
G4600	σιαγών
G4762	στρέφω
G2919	κρίνω
G5509	χιτών
G2983	λαμβάνω
G2440	ἱμάτιον
G29	ἀγγαρεύω
G3400	μίλιον
G154	αἰτέω
G1155	δανείζω
G654	ἀποστρέφω
G25	ἀγαπάω
G4139	πλησίον
G3404	μισέω
G2190	ἐχθρός
G4336	προσεύχομαι
G5228	ὑπέρ
G2246	ἥλιος
G18	ἀγαθός
G1026	βρέχω
G94	ἄδικος
G3780	οὐχί
G5057	τελώνης
G782	ἀσπάζομαι
G1482	ἐθνικός
G5046	τέλειος
G3770	οὐράνιος
G4337	προσέχω
G2300	θεάομαι
G1065	γέ
G1654	ἐλεημοσύνη
G4537	σαλπίζω
G5618	ὥσπερ
G5273	ὑποκριτής
G4505	ῥύμη
G568	ἀπέχω
G710	ἀριστερός
G2927	κρυπτός
G5368	φιλέω
G1137	γωνία
