אֱלִיעֶ֫זֶר	10
יָרַשׁ	110
מֵעֶה	26
נָבַט	56
סָפַר	81
כֹּה	229
אָמַן	74
חָשַׁב	87
צְדָקָה	96
עֶגְלָה	8
שָׁלַשׁ	6
עֵז	44
אַ֫יִל	53
תֹּר	10
גּוֹזָל	2
בָּתַר	1
בֶּ֫תֶר	2
עַ֫יִט	6
פֶּ֫גֶר	17
נָשַׁב	3
עִיר שָׁ֑מֶשׁ	92
אֵימָה	17
חֶשְׁכָה	6
גֵּר	54
עָנָה	54
שָׁלוֹם	143
קָבַר	74
שֵׂיבָה	17
הֵ֫נָּה	36
H8003	24
עֲלָטָה	2
תַּנּוּר	13
עָשָׁן	22
לַפִּיד	10
אֵשׁ	215
גֶּ֫זֶר	2
קֵינִי	9
קְנִזִּי	3
קַדְמֹנִי	1
חִתִּי	38
הָגָר	3
עָצַר	40
אוּלַי	33
גְּבֶ֫רֶת	6
חֵיק	28
שָׁפַט	128
בָּרַח	50
מַלְאָךְ	103
שׁוּר	6
אָן	31
רֹב	110
הָרִיָּה	14
יִשְׁמָעֵאל	14
עֳנִי	26
פֶּ֫רֶא	10
רֳאִי	4
הֲלֹם	10
בֶּ֫רֶד	1
שַׁדַּי	34
הָמַן	51
אַבְרָהָם	49
מָגוֹר	10
אֲחֻזָּה	26
נָמַל	10
עׇרְלָה	11
מִקְנָה	6
נֵכָר	27
עָרֵל	20
H5971a	20
פָּרַר	34
שָׂרָה	9
צָחַק	8
לוּ	21
אֲבָל	10
יִשְׂחָק	39
נָשִׂיא	54
נָצַב	58
רוּץ	65
שָׁחָה	120
מְעַט	76
רָחַץ	38
שָׁעַן	18
פָּתוֹת	15
סָעַד	11
מָהַר	53
סְאָה	4
קֶ֫מַח	12
סֹ֫לֶת	21
לוּשׁ	5
עֻגָה	7
רַךְ	15
חֶמְאָה	8
חָלָב	39
עָמַד	286
אֱהִי	35
זָקֵן	115
אֹ֫רַח	43
קֶ֫רֶב	140
בָּלָה	14
עֶדְנָה	1
H0113	125
H2204	21
אֻמְנָם	5
פָּלָא	56
כָּחַשׁ	21
שָׁקַף	21
עָצוּם	27
מִשְׁפָּט	245
זְעָקָה	16
H3513	85
צְעָקָה	18
H3617	17
פָּנָה	106
נָגַשׁ	82
סָפָה	15
רָשָׁע	123
יֵשׁ	98
חָלִ֫ילָה	17
H6030	197
יָאַל	15
אֵ֫פֶר	20
שַׁ֫עַר	168
לוּן	51
שָׁכַם	52
רְחוֹב	33
פָּצַר	6
מִשְׁתֶּה	25
מַצָּה	26
אָפָה	11
שָׁכַב	109
דֶּ֫לֶת	53
יָרַע	81
H0411	7
צֵלֶל	42
קוֹרָה	4
הָֽ֫לְאָה	14
שָׁבַר	104
סַנְוֵרִים	2
לָאָה	17
פֹּה	34
חָתָן	17
כְּמוֹ	103
שַׁ֫חַר	22
אוּץ	10
מָהַהּ	9
חָזַק	160
חֶמְלָה	2
מָלַט	64
חֶ֫סֶד	143
קָרֹב	66
מִצְעָר	4
גׇּפְרִית	7
צֶ֫מַח	11
נְצִיב	8
קִיטוֹר	3
כִּבְשָׁן	3
הֲפֵכָה	1
מְעָרָה	20
בְּכִירָה	3
מִצְּעִירָה	20
מׇחֳרָת	26
אֶ֫מֶשׁ	4
מוֹאָב	60
עַמּוֹן	39
אֲבִימֶ֫לֶךְ	9
חֲלוֹם	24
בָּעַל	12
תֹּם	20
לֵבָב	158
קֵהָיוֹן	5
חָשַׂךְ	25
חָטָא	140
נָבִיא	131
פָּלַל	48
אֹ֫זֶן	143
חֲטָאָה	6
יִרְאָה	38
אׇמְנָה	2
תָּעָה	39
אֶ֫לֶף	148
כְּסוּת	8
יָכַח	47
רָפָא	52
אָמָה	30
רַחַם	25
פְּקוּדִים	137
זְקֻנִים	3
צְחֹק	2
מָלַל	4
נוּק	12
גָּמַל	29
